Word,LogOdds,Score,Category
allaa,3.309394628,3.0,positive
alha,3.309394628,3.0,positive
ammeen,3.358184792,3.0,positive
mashaallh,3.449156571,3.0,positive
jabadha,3.449156571,3.0,positive
eebbisu,3.449156571,3.0,positive
amen,5.489812087,3.0,positive
allah,5.76898347,3.0,positive
ameen,5.952017024,3.0,positive
masha,5.255304777,3.0,positive
jabadhu,3.427177664,3.0,positive
ele,3.404704808,3.0,positive
mashaalla,3.404704808,3.0,positive
jiradhu,2.952719684,3.0,positive
jzk,2.878611712,3.0,positive
mashaa,5.141976092,3.0,positive
sallaallahu,5.049860803,3.0,positive
jabaa,3.404704808,3.0,positive
nufi,2.878611712,3.0,positive
saallaallaahu,2.878611712,3.0,positive
ebbifamaa,2.878611712,3.0,positive
ebbisuu,2.878611712,3.0,positive
jabaadhu,4.732502963,3.0,positive
mashala,4.472545438,3.0,positive
maashaa,4.424536219,3.0,positive
wow,4.867539246,3.0,positive
waw,3.309394628,3.0,positive
ebifaami,3.086251077,3.0,positive
jiradhaa,3.086251077,3.0,positive
dheresuu,2.798569005,3.0,positive
alla,2.798569005,3.0,positive
ebbisu,2.798569005,3.0,positive
umuri,2.711557628,3.0,positive
wr,3.086251077,3.0,positive
jabaadha,2.798569005,3.0,positive
aleyhi,2.798569005,3.0,positive
eebbifamaa,2.798569005,3.0,positive
jabadhaa,2.75600939,3.0,positive
mashallaah,2.952719684,3.0,positive
jirenya,2.952719684,3.0,positive
galatoomii,2.952719684,3.0,positive
ergamoota,2.952719684,3.0,positive
saw,2.952719684,3.0,positive
ustazaa,3.021712556,3.0,positive
dhageessisu,3.021712556,3.0,positive
bareedaa,2.711557628,3.0,positive
waasallam,2.711557628,3.0,positive
faaruu,2.711557628,3.0,positive
dheeraa,2.878611712,3.0,positive
ulfaadhu,2.711557628,3.0,positive
sirba,2.878611712,3.0,positive
dhagesisu,2.798569005,3.0,positive
waaqayyo,2.825967979,3.0,positive
siyaa,2.878611712,3.0,positive
jabadhuu,3.951248514,3.0,positive
waaqayyoo,3.101755264,3.0,positive
jiradhuu,3.106870364,3.0,positive
waqayyoo,3.106870364,3.0,positive
tolaa,3.117022736,3.0,positive
ustaza,3.146875699,3.0,positive
mashaallaha,3.204034113,3.0,positive
ustaaz,3.204034113,3.0,positive
dhagesisuu,3.204034113,3.0,positive
qaxalee,3.897181293,3.0,positive
wb,3.086251077,3.0,positive
mashallh,3.021712556,3.0,positive
galatooma,3.021712556,3.0,positive
cimaadha,3.021712556,3.0,positive
eebbisuu,3.021712556,3.0,positive
mashaallah,4.356713623,3.0,positive
ebbifami,3.924580267,3.0,positive
eebbifami,3.840022879,3.0,positive
mashalaa,3.897181293,3.0,positive
jiraadhu,2.798569005,3.0,positive
raayyaa,2.798569005,3.0,positive
maashaalla,2.798569005,3.0,positive
ustaaza,2.798569005,3.0,positive
tabarakallah,2.798569005,3.0,positive
maashaallah,2.798569005,3.0,positive
umrii,3.217827435,3.0,positive
galatoomaa,3.491716185,3.0,positive
mashalla,3.53253818,3.0,positive
jabaadhaa,3.645866865,3.0,positive
ebifami,3.680958185,3.0,positive
allaah,3.731389038,3.0,positive
maasha,3.747649559,3.0,positive
ebifamii,3.779398258,3.0,positive
mashallaa,4.205482653,3.0,positive
ammen,4.245487987,3.0,positive
ebifamaa,3.977224001,3.0,positive
ebbifamii,4.002541809,3.0,positive
mashallah,4.356713623,3.0,positive
toltuu,2.616247448,2.9,positive
baredaa,2.616247448,2.9,positive
jiraadhaa,2.616247448,2.9,positive
qaxale,2.616247448,2.9,positive
jabaadhuu,2.665037612,2.9,positive
thank,2.616247448,2.9,positive
jiraadhuu,2.665037612,2.9,positive
jaba,2.616247448,2.9,positive
allh,2.616247448,2.9,positive
mashalaha,2.616247448,2.9,positive
amazing,2.616247448,2.9,positive
dhageesisuu,2.616247448,2.9,positive
alhaa,2.616247448,2.9,positive
baradhee,2.616247448,2.9,positive
like,2.510886932,2.8,positive
toltaa,2.510886932,2.8,positive
maashaala,2.510886932,2.8,positive
ajaaibaati,2.510886932,2.8,positive
mashaa allah ameen,0.0,2.8,positive
amiinamiin,2.510886932,2.8,positive
ebbifama,2.510886932,2.8,positive
jabbaa,2.510886932,2.8,positive
waqaayyoo,2.510886932,2.8,positive
gamee,2.510886932,2.8,positive
qaalii,2.510886932,2.8,positive
amin,2.564954153,2.8,positive
gammee,2.510886932,2.8,positive
waqayo,2.510886932,2.8,positive
faruu,2.510886932,2.8,positive
ebbifami waqayyoo,0.0,2.7,positive
mashaalha,2.393103896,2.6,positive
all,2.328565375,2.6,positive
nama cimaadha,0.0,2.6,positive
elelelele,2.393103896,2.6,positive
waqayyoo si haa eebbisu,0.0,2.6,positive
dhageessisuu,2.393103896,2.6,positive
jaallanna,2.393103896,2.6,positive
jaalana,2.393103896,2.6,positive
eebbifamii,2.393103896,2.6,positive
sagale,2.328565375,2.6,positive
umurii,2.328565375,2.6,positive
ergamotaa,2.393103896,2.6,positive
jaladhaa,2.393103896,2.6,positive
rabbiin,2.321130397,2.6,positive
keep,2.393103896,2.6,positive
godhii,2.393103896,2.6,positive
nuf,2.358418338,2.6,positive
dhuftani,2.393103896,2.6,positive
bayyee,2.318995924,2.6,positive
barnoota,2.393103896,2.6,positive
dheradhaa,2.393103896,2.6,positive
baradheera,2.393103896,2.6,positive
ebisuu,2.393103896,2.6,positive
galatoomi,2.350544282,2.6,positive
nuufi,2.393103896,2.6,positive
waqqayyoo,2.393103896,2.6,positive
dhugumatti,2.393103896,2.6,positive
umri,2.393103896,2.6,positive
qaxalee mucaa,0.0,2.5,positive
eeleellaa,2.259572504,2.5,positive
ilaalee,2.259572504,2.5,positive
qabaachuun,2.259572504,2.5,positive
guullguull,2.259572504,2.5,positive
tola,2.238953217,2.5,positive
mucaa,2.238953217,2.5,positive
motumaa,2.259572504,2.5,positive
toleera,2.259572504,2.5,positive
ijaa,2.259572504,2.5,positive
baredu,2.259572504,2.5,positive
goftaan,2.259572504,2.5,positive
ilaale,2.259572504,2.5,positive
belina,2.259572504,2.5,positive
ajaaibaa,2.259572504,2.5,positive
mashaalaa,2.259572504,2.5,positive
firoo,2.259572504,2.5,positive
mashaala,2.259572504,2.5,positive
alh,2.259572504,2.5,positive
baguma,2.259572504,2.5,positive
jabba,2.259572504,2.5,positive
mashaalh,2.259572504,2.5,positive
mashlaa,2.259572504,2.5,positive
fufi,2.259572504,2.5,positive
dhagechisuu,2.259572504,2.5,positive
das,2.259572504,2.5,positive
amina,2.259572504,2.5,positive
oromummaan,2.259572504,2.5,positive
maashalla,2.259572504,2.5,positive
jalatuu,2.259572504,2.5,positive
qalii,2.259572504,2.5,positive
dheeradhu,2.259572504,2.5,positive
bareda,2.259572504,2.5,positive
maslhaalhaalh,2.259572504,2.5,positive
dhugumatti jabaadhu,0.0,2.5,positive
galatoomi rabbi,0.0,2.5,positive
jabaadhaa cimaadha,0.0,2.5,positive
nuuf jiraadhu,0.0,2.5,positive
baay’ee gaarii,0.0,2.5,positive
galatomi,2.21078234,2.4,positive
nufii,2.185464532,2.4,positive
bareedaa dhugaadha,0.0,2.4,positive
dhageesisu,2.185464532,2.4,positive
dhugaa dubbachuuf,0.0,2.4,positive
ustaz,2.185464532,2.4,positive
jabaadhu jabaa,0.0,2.4,positive
umurii dheeraa,0.0,2.4,positive
jiradha,2.185464532,2.4,positive
dhugadhaa,2.185464532,2.4,positive
mashallahaa,2.105421824,2.3,positive
mucaan,2.067681496,2.3,positive
tolaa dha,0.0,2.3,positive
sanyii,2.04826341,2.3,positive
dhertuu,2.105421824,2.3,positive
akkaan,2.105421824,2.3,positive
baba,2.105421824,2.3,positive
good,2.105421824,2.3,positive
ustazii,2.105421824,2.3,positive
aallaa,2.105421824,2.3,positive
walif,2.105421824,2.3,positive
tolta,2.105421824,2.3,positive
biraas,2.105421824,2.3,positive
bagaa,2.06286221,2.3,positive
tolte,2.105421824,2.3,positive
baayyeen,2.04826341,2.3,positive
gurbaan,2.04826341,2.3,positive
qaxaalee,2.105421824,2.3,positive
maashaallaa,2.105421824,2.3,positive
ulfaadhaa,2.105421824,2.3,positive
umarii,2.105421824,2.3,positive
dhagechisu,2.105421824,2.3,positive
bayeen,2.105421824,2.3,positive
bareduu,2.105421824,2.3,positive
mashaalhe,2.105421824,2.3,positive
sirra,2.105421824,2.3,positive
awadall,2.105421824,2.3,positive
waaqayoo,2.105421824,2.3,positive
mashaalal,2.105421824,2.3,positive
waqayyo,2.105421824,2.3,positive
bareedu,2.105421824,2.3,positive
wallahii,2.105421824,2.3,positive
allaha,2.105421824,2.3,positive
babaa,2.105421824,2.3,positive
sol,2.105421824,2.3,positive
yyaa,2.105421824,2.3,positive
lenca,2.105421824,2.3,positive
ameenameen,2.105421824,2.3,positive
tiyya,2.105421824,2.3,positive
baayisu,2.105421824,2.3,positive
raabii,2.105421824,2.3,positive
kormee,2.105421824,2.3,positive
nattii,2.105421824,2.3,positive
jirenyaa,2.000061308,2.2,positive
nuuf,1.973110688,2.2,positive
kennu,2.018410447,2.2,positive
jaalala,1.987638788,2.2,positive
namati,1.971890431,2.2,positive
keenuu,1.923100267,2.1,positive
baayisuu,1.923100267,2.1,positive
galatomii,1.923100267,2.1,positive
farfanna,1.923100267,2.1,positive
dhalootaa,1.923100267,2.1,positive
eeguu,1.923100267,2.1,positive
fufii,1.923100267,2.1,positive
mashaallaa,1.923100267,2.1,positive
masallah,1.923100267,2.1,positive
isiinii,1.923100267,2.1,positive
kena,1.923100267,2.1,positive
maree,1.923100267,2.1,positive
baayatu,1.923100267,2.1,positive
tabeet,1.923100267,2.1,positive
eyyeen,1.923100267,2.1,positive
dheradhu,1.923100267,2.1,positive
mashahallaa,1.923100267,2.1,positive
muca,1.923100267,2.1,positive
saa,1.923100267,2.1,positive
eguu,1.923100267,2.1,positive
bulii,1.923100267,2.1,positive
dheeressu,1.923100267,2.1,positive
sifi,1.923100267,2.1,positive
namaati,1.923100267,2.1,positive
heddu,1.923100267,2.1,positive
bareedduu,1.923100267,2.1,positive
inshallah,1.923100267,2.1,positive
tiyyaa,1.923100267,2.1,positive
ebbifaami,1.923100267,2.1,positive
mashaalah,1.923100267,2.1,positive
muddaa,1.923100267,2.1,positive
baredan,1.923100267,2.1,positive
jaladha,1.923100267,2.1,positive
qallii,1.923100267,2.1,positive
eyeen,1.923100267,2.1,positive
barbaachisa,1.923100267,2.1,positive
gootoota,1.923100267,2.1,positive
jaaladhaa,1.923100267,2.1,positive
waqayyon,1.923100267,2.1,positive
waqqayyo,1.923100267,2.1,positive
waalifwaalif,1.923100267,2.1,positive
galatomaa,1.923100267,2.1,positive
rabiin,1.923100267,2.1,positive
gooftan,1.923100267,2.1,positive
nuufii,1.923100267,2.1,positive
barsisaa,1.923100267,2.1,positive
qaxxalee,1.923100267,2.1,positive
jabdhuu,1.923100267,2.1,positive
sifaa,1.923100267,2.1,positive
argin,1.923100267,2.1,positive
rayya,1.923100267,2.1,positive
tasisuu,1.923100267,2.1,positive
sanyi,1.923100267,2.1,positive
jalaana,1.923100267,2.1,positive
your,1.923100267,2.1,positive
dhuftaan,1.923100267,2.1,positive
dammaa,1.923100267,2.1,positive
dheeratu,1.923100267,2.1,positive
dheereysu,1.923100267,2.1,positive
dheresu,1.923100267,2.1,positive
waqayoo,1.923100267,2.1,positive
galtomi,1.923100267,2.1,positive
tii,1.923100267,2.1,positive
ebiifamii,1.923100267,2.1,positive
habibi,1.923100267,2.1,positive
dhaggeeffadheen,1.923100267,2.1,positive
koo,1.909370074,2.1,positive
argiin,1.923100267,2.1,positive
dheressu,1.923100267,2.1,positive
baloo,1.923100267,2.1,positive
bagumaa,1.923100267,2.1,positive
jabaan,1.923100267,2.1,positive
jalalii,1.923100267,2.1,positive
nufu,1.923100267,2.1,positive
qufuu,1.923100267,2.1,positive
alhamulilah,1.923100267,2.1,positive
mashallaha,1.923100267,2.1,positive
farfanaa,1.923100267,2.1,positive
namaatii,1.923100267,2.1,positive
qali,1.923100267,2.1,positive
namatii,1.854107396,2.0,positive
bareeda,1.839718658,2.0,positive
woow,1.817739752,2.0,positive
namatti,1.805317232,2.0,positive
heduu,1.817739752,2.0,positive
baayyee,1.809156008,2.0,positive
jaaladha,1.817739752,2.0,positive
arge,1.817739752,2.0,positive
hireen,1.817739752,2.0,positive
baga,1.847592715,2.0,positive
rayyaa,1.817739752,2.0,positive
dachaa,1.854107396,2.0,positive
galatoom,1.699956716,1.9,positive
sirbii,1.699956716,1.9,positive
dhugadha,1.699956716,1.9,positive
obolessa,1.699956716,1.9,positive
dada,1.699956716,1.9,positive
mashalh,1.699956716,1.9,positive
hatau,1.699956716,1.9,positive
bayyen,1.699956716,1.9,positive
baadiyyaa,1.699956716,1.9,positive
raabiin,1.699956716,1.9,positive
walahi,1.699956716,1.9,positive
gargaaru,1.699956716,1.9,positive
cima,1.699956716,1.9,positive
hatoo,1.699956716,1.9,positive
allha,1.699956716,1.9,positive
dhugaama,1.699956716,1.9,positive
toluu,1.699956716,1.9,positive
dandeenya,1.699956716,1.9,positive
carra,1.699956716,1.9,positive
akkakoo,1.699956716,1.9,positive
walaloo,1.699956716,1.9,positive
ijoo,1.699956716,1.9,positive
gaaf,1.699956716,1.9,positive
geette,1.699956716,1.9,positive
toltu,1.699956716,1.9,positive
boonsa,1.699956716,1.9,positive
amnee,1.699956716,1.9,positive
insha,1.699956716,1.9,positive
sagalee,1.713750038,1.9,positive
uff,1.699956716,1.9,positive
iskee,1.699956716,1.9,positive
jalanaa,1.699956716,1.9,positive
jijirama,1.699956716,1.9,positive
rabii,1.699956716,1.9,positive
jedhun,1.699956716,1.9,positive
ijjoollee,1.699956716,1.9,positive
isiinirra,1.699956716,1.9,positive
dinqisiifadha,1.699956716,1.9,positive
wari,1.699956716,1.9,positive
dubate,1.699956716,1.9,positive
hiree,1.699956716,1.9,positive
damma,1.699956716,1.9,positive
subscribe,1.699956716,1.9,positive
jegna,1.699956716,1.9,positive
share,1.699956716,1.9,positive
very,1.699956716,1.9,positive
ammee,1.699956716,1.9,positive
boruu,1.699956716,1.9,positive
barechuu,1.699956716,1.9,positive
naminami,1.699956716,1.9,positive
hatauu,1.699956716,1.9,positive
kesani,1.699956716,1.9,positive
jaabadhu,1.699956716,1.9,positive
farruu,1.699956716,1.9,positive
macaa,1.699956716,1.9,positive
eebbifama,1.699956716,1.9,positive
dhersuu,1.699956716,1.9,positive
akkatii,1.699956716,1.9,positive
abbichu,1.699956716,1.9,positive
ayyaana,1.699956716,1.9,positive
jaalladheera,1.699956716,1.9,positive
maashaallaah,1.699956716,1.9,positive
bravo,1.699956716,1.9,positive
qaali,1.699956716,1.9,positive
jajjabee,1.699956716,1.9,positive
ijarahafi,1.699956716,1.9,positive
tajajilaa,1.699956716,1.9,positive
ilaalcha,1.699956716,1.9,positive
yene,1.699956716,1.9,positive
jalatan,1.699956716,1.9,positive
dhagefadhe,1.699956716,1.9,positive
hubadheera,1.699956716,1.9,positive
yaade,1.699956716,1.9,positive
eeyyeen,1.699956716,1.9,positive
aleeyhii,1.699956716,1.9,positive
jalaala,1.699956716,1.9,positive
oliti,1.699956716,1.9,positive
sagaalee,1.699956716,1.9,positive
waliraa,1.699956716,1.9,positive
bekumsaa,1.699956716,1.9,positive
baranne,1.699956716,1.9,positive
dheeradhuu,1.699956716,1.9,positive
taeen,1.699956716,1.9,positive
ebisu,1.699956716,1.9,positive
argannu,1.699956716,1.9,positive
dhugaadhaaf,1.699956716,1.9,positive
hirmaachuu,1.699956716,1.9,positive
tolera,1.699956716,1.9,positive
argadha,1.699956716,1.9,positive
gammachiisa,1.699956716,1.9,positive
ammaaf,1.699956716,1.9,positive
tabaarakaallaah,1.699956716,1.9,positive
bareddaa,1.699956716,1.9,positive
jalaadha,1.699956716,1.9,positive
siha,1.699956716,1.9,positive
korma,1.699956716,1.9,positive
anaaf,1.699956716,1.9,positive
dheeressuu,1.699956716,1.9,positive
yoosan,1.699956716,1.9,positive
anni,1.699956716,1.9,positive
bareedadha,1.699956716,1.9,positive
fuufi,1.699956716,1.9,positive
jaalladhe,1.699956716,1.9,positive
jzkl,1.699956716,1.9,positive
addatti,1.699956716,1.9,positive
jawwishaa,1.699956716,1.9,positive
qooduu,1.699956716,1.9,positive
amiin,1.74077871,1.9,positive
haa,1.77141568,1.9,positive
dhugaa,1.714803224,1.9,positive
jiraayii,1.699956716,1.9,positive
wasallam,1.699956716,1.9,positive
dhagefadhee,1.699956716,1.9,positive
baratan,1.699956716,1.9,positive
jabbadha,1.699956716,1.9,positive
jiraan,1.699956716,1.9,positive
qaxallee,1.699956716,1.9,positive
gammadaa,1.699956716,1.9,positive
muuziqaa,1.699956716,1.9,positive
caalatti,1.699956716,1.9,positive
dhaltuu,1.699956716,1.9,positive
masqaloo,1.699956716,1.9,positive
guddaadha,1.699956716,1.9,positive
im,1.699956716,1.9,positive
masllhaallh,1.699956716,1.9,positive
qulqulluu,1.699956716,1.9,positive
jaabadha,1.699956716,1.9,positive
qaaxale,1.699956716,1.9,positive
maashaallh,1.699956716,1.9,positive
dhabu,1.699956716,1.9,positive
ame,1.699956716,1.9,positive
jaalanaa,1.699956716,1.9,positive
idea,1.699956716,1.9,positive
jabbadhaa,1.699956716,1.9,positive
gudadha,1.699956716,1.9,positive
dhagaiin,1.699956716,1.9,positive
hadhagesisuu,1.699956716,1.9,positive
aliyyii,1.699956716,1.9,positive
jaalladha,1.699956716,1.9,positive
juradhuu,1.699956716,1.9,positive
bless,1.699956716,1.9,positive
qaaliiwwan,1.699956716,1.9,positive
dhalatte,1.699956716,1.9,positive
hawwiin,1.699956716,1.9,positive
mati,1.699956716,1.9,positive
barachaa,1.699956716,1.9,positive
guddaa,0.0,1.8,intensifier
baay’ee,0.0,1.8,intensifier
baay’inaan,0.0,1.8,intensifier
daran,0.0,1.8,intensifier
hedduu,0.0,1.8,intensifier
dhuftan,1.612945339,1.8,positive
ajaaiba,1.612945339,1.8,positive
rabbii,1.601516643,1.8,positive
keedha,1.566425323,1.7,positive
jiraadha,1.517635159,1.7,positive
yaadni,1.566425323,1.7,positive
jabduu,1.566425323,1.7,positive
rabbi,1.537437786,1.7,positive
jaallattan,1.566425323,1.7,positive
nagan,1.517635159,1.7,positive
ibsuu,1.566425323,1.7,positive
oromummaa,1.566425323,1.7,positive
muddii,1.566425323,1.7,positive
brother,1.566425323,1.7,positive
dubbatte,1.566425323,1.7,positive
jijire,1.412274643,1.6,positive
jeettee,1.412274643,1.6,positive
malhaalhaalhaalh,1.412274643,1.6,positive
hiriyaa,1.412274643,1.6,positive
dhugga,1.412274643,1.6,positive
faarfannaa,1.412274643,1.6,positive
mashaaallaah,1.412274643,1.6,positive
tessan,1.412274643,1.6,positive
badiyaa,1.412274643,1.6,positive
dirqamaa,1.412274643,1.6,positive
jabbaadha,1.412274643,1.6,positive
lee,1.412274643,1.6,positive
oromoni,1.412274643,1.6,positive
baayyisu,1.412274643,1.6,positive
deebisi,1.412274643,1.6,positive
dhunfaa,1.412274643,1.6,positive
dhagesiuu,1.412274643,1.6,positive
taun,1.412274643,1.6,positive
waqayyoon,1.412274643,1.6,positive
samuun,1.412274643,1.6,positive
haadhooko,1.412274643,1.6,positive
wassallaam,1.412274643,1.6,positive
gammaddan,1.412274643,1.6,positive
dhuuga,1.412274643,1.6,positive
fakenyaa,1.412274643,1.6,positive
meskelo,1.412274643,1.6,positive
hasawuu,1.412274643,1.6,positive
baayyees,1.412274643,1.6,positive
daddabalee,1.412274643,1.6,positive
jaalatuu,1.412274643,1.6,positive
maashallha,1.412274643,1.6,positive
oolchaa,1.412274643,1.6,positive
respect,1.412274643,1.6,positive
dargaggessa,1.412274643,1.6,positive
dhugaadhuma,1.412274643,1.6,positive
kanaatti,1.412274643,1.6,positive
aabbee,1.412274643,1.6,positive
baayisaa,1.412274643,1.6,positive
umari,1.412274643,1.6,positive
ufee,1.412274643,1.6,positive
akkakootti,1.412274643,1.6,positive
sallallahu,1.412274643,1.6,positive
ulfaadhuu,1.412274643,1.6,positive
haaruu,1.412274643,1.6,positive
baka,1.412274643,1.6,positive
tufaa,1.412274643,1.6,positive
nuufaa,1.412274643,1.6,positive
eebifami,1.412274643,1.6,positive
dhugummaa,1.412274643,1.6,positive
reef,1.412274643,1.6,positive
jabbaadhu,1.412274643,1.6,positive
salaam,1.412274643,1.6,positive
haaruus,1.412274643,1.6,positive
wawu,1.412274643,1.6,positive
aleeyhi,1.412274643,1.6,positive
tabarkaa,1.412274643,1.6,positive
sammuudhaan,1.412274643,1.6,positive
eebisu,1.412274643,1.6,positive
gifti,1.412274643,1.6,positive
argeen,1.412274643,1.6,positive
gurbati,1.412274643,1.6,positive
allahu,1.412274643,1.6,positive
keessaanii,1.412274643,1.6,positive
yaani,1.412274643,1.6,positive
dhuggaa,1.412274643,1.6,positive
ebbfamaa,1.412274643,1.6,positive
obbooleesa,1.412274643,1.6,positive
dhiyaatan,1.412274643,1.6,positive
sammuukee,1.412274643,1.6,positive
hundeessaa,1.412274643,1.6,positive
dheraadhuu,1.412274643,1.6,positive
iyye,1.412274643,1.6,positive
argadhuu,1.412274643,1.6,positive
kanarratti,1.412274643,1.6,positive
ibroo,1.412274643,1.6,positive
usataza,1.412274643,1.6,positive
saaqoo,1.412274643,1.6,positive
dinqii,1.412274643,1.6,positive
keesan,1.412274643,1.6,positive
uufee,1.412274643,1.6,positive
yada,1.412274643,1.6,positive
dherressu,1.412274643,1.6,positive
kabajamo,1.412274643,1.6,positive
gubee,1.412274643,1.6,positive
ijarraa,1.412274643,1.6,positive
deebiaa,1.412274643,1.6,positive
tataan,1.412274643,1.6,positive
betam,1.412274643,1.6,positive
affeeri,1.412274643,1.6,positive
gammade,1.412274643,1.6,positive
elilili,1.412274643,1.6,positive
halal,1.412274643,1.6,positive
jalladhaa,1.412274643,1.6,positive
qalli,1.412274643,1.6,positive
jalatamoo,1.412274643,1.6,positive
jaladheraa,1.412274643,1.6,positive
arab,1.412274643,1.6,positive
dhageeffadhe,1.412274643,1.6,positive
gammefi,1.412274643,1.6,positive
mashallhaa,1.412274643,1.6,positive
gammachiise,1.412274643,1.6,positive
galataa,1.412274643,1.6,positive
warqii,1.412274643,1.6,positive
moattaa,1.412274643,1.6,positive
ebbiifamii,1.412274643,1.6,positive
viidiyoo,1.412274643,1.6,positive
nuufis,1.412274643,1.6,positive
lubbuunkee,1.412274643,1.6,positive
raya,1.412274643,1.6,positive
qeqaa,1.412274643,1.6,positive
ergamootaa,1.412274643,1.6,positive
sirriima,1.412274643,1.6,positive
gahaadha,1.412274643,1.6,positive
jibbinu,1.412274643,1.6,positive
hisaa,1.412274643,1.6,positive
tayaa,1.412274643,1.6,positive
daddafaa,1.412274643,1.6,positive
torbeetti,1.412274643,1.6,positive
dargaggoota,1.412274643,1.6,positive
umuriikee,1.412274643,1.6,positive
dhugaakeedha,1.412274643,1.6,positive
guttuu,1.412274643,1.6,positive
halkaan,1.412274643,1.6,positive
wowowowo,1.412274643,1.6,positive
milkesuu,1.412274643,1.6,positive
hadheresuu,1.412274643,1.6,positive
tuqaaf,1.412274643,1.6,positive
dhugan,1.412274643,1.6,positive
hawwii,1.412274643,1.6,positive
acting,1.412274643,1.6,positive
raasuu,1.412274643,1.6,positive
allaahu,1.412274643,1.6,positive
gameessa,1.412274643,1.6,positive
jaalladhuu,1.412274643,1.6,positive
keenyee,1.412274643,1.6,positive
abe,1.412274643,1.6,positive
hirree,1.412274643,1.6,positive
smart,1.412274643,1.6,positive
amala,1.412274643,1.6,positive
ormo,1.412274643,1.6,positive
jabaachuu,1.412274643,1.6,positive
obbolessaa,1.412274643,1.6,positive
eyyee,1.412274643,1.6,positive
baayisee,1.412274643,1.6,positive
qeerooni,1.412274643,1.6,positive
jajjabeesinuu,1.412274643,1.6,positive
banuu,1.412274643,1.6,positive
akubr,1.412274643,1.6,positive
dasa,1.412274643,1.6,positive
bareedaadha,1.412274643,1.6,positive
dabarse,1.412274643,1.6,positive
nyachuu,1.412274643,1.6,positive
mashalah,1.412274643,1.6,positive
duaaii,1.412274643,1.6,positive
hadheressuu,1.412274643,1.6,positive
allehi,1.412274643,1.6,positive
urmi,1.412274643,1.6,positive
jalalan,1.412274643,1.6,positive
jirnyaa,1.412274643,1.6,positive
ebbiisuu,1.412274643,1.6,positive
matti,1.412274643,1.6,positive
baruumsaa,1.412274643,1.6,positive
banu,1.412274643,1.6,positive
gamadan,1.412274643,1.6,positive
dhuu,1.412274643,1.6,positive
boonsaa,1.412274643,1.6,positive
quufu,1.412274643,1.6,positive
ijara,1.412274643,1.6,positive
dasii,1.412274643,1.6,positive
hedu,1.412274643,1.6,positive
